alcaldia,anio,score_total,score_presupuesto,score_ministraciones,score_deuda,score_patrimonio,data_faltante
Álvaro Obregón,2018,60.0,,,60.0,,true
Álvaro Obregón,2019,85.9,97.4,,63.0,,true
Álvaro Obregón,2020,58.0,,,58.0,,true
Álvaro Obregón,2021,89.4,96.7,95.9,65.0,,true
Álvaro Obregón,2022,89.7,96.8,94.6,68.0,,true
Álvaro Obregón,2023,91.8,97.5,97.4,72.0,,true
Álvaro Obregón,2024,93.4,97.6,100.0,75.0,,true
Azcapotzalco,2018,60.0,,,60.0,,true
Azcapotzalco,2019,86.0,97.5,,63.0,,true
Azcapotzalco,2020,58.0,,,58.0,,true
Azcapotzalco,2021,88.3,94.1,96.1,65.0,,true
Azcapotzalco,2022,90.7,95.1,100.0,68.0,,true
Azcapotzalco,2023,92.2,98.3,97.6,72.0,,true
Azcapotzalco,2024,93.5,97.9,100.0,75.0,,true
Benito Juárez,2018,60.0,,,60.0,,true
Benito Juárez,2019,81.1,90.1,,63.0,,true
Benito Juárez,2020,58.0,,,58.0,,true
Benito Juárez,2021,89.5,95.9,97.3,65.0,,true
Benito Juárez,2022,88.8,93.7,96.0,68.0,,true
Benito Juárez,2023,89.8,97.0,92.1,72.0,,true
Benito Juárez,2024,92.4,95.3,100.0,75.0,,true
Coyoacán,2018,60.0,,,60.0,,true
Coyoacán,2019,83.2,93.3,,63.0,,true
Coyoacán,2020,58.0,,,58.0,,true
Coyoacán,2021,89.7,95.8,98.1,65.0,,true
Coyoacán,2022,92.5,99.2,100.0,68.0,,true
Coyoacán,2023,91.2,95.3,98.5,72.0,,true
Coyoacán,2024,91.6,93.7,100.0,75.0,,true
Cuajimalpa de Morelos,2018,60.0,,,60.0,,true
Cuajimalpa de Morelos,2019,87.3,99.4,,63.0,,true
Cuajimalpa de Morelos,2020,58.0,,,58.0,,true
Cuajimalpa de Morelos,2021,90.7,98.6,97.3,65.0,,true
Cuajimalpa de Morelos,2022,92.4,99.1,99.6,68.0,,true
Cuajimalpa de Morelos,2023,89.8,91.9,99.0,72.0,,true
Cuajimalpa de Morelos,2024,93.0,96.7,100.0,75.0,,true
Cuauhtémoc,2018,60.0,,,60.0,,true
Cuauhtémoc,2019,87.5,99.7,,63.0,,true
Cuauhtémoc,2020,58.0,,,58.0,,true
Cuauhtémoc,2021,90.7,98.2,97.9,65.0,,true
Cuauhtémoc,2022,91.8,97.5,100.0,68.0,,true
Cuauhtémoc,2023,84.4,81.2,96.9,72.0,,true
Cuauhtémoc,2024,94.0,98.9,100.0,75.0,,true
Gustavo A. Madero,2018,60.0,,,60.0,,true
Gustavo A. Madero,2019,83.9,94.4,,63.0,,true
Gustavo A. Madero,2020,58.0,,,58.0,,true
Gustavo A. Madero,2021,88.5,95.6,94.7,65.0,,true
Gustavo A. Madero,2022,89.6,96.3,95.1,68.0,,true
Gustavo A. Madero,2023,85.8,87.5,92.6,72.0,,true
Gustavo A. Madero,2024,93.6,98.0,100.0,75.0,,true
Iztacalco,2018,60.0,,,60.0,,true
Iztacalco,2019,83.9,94.4,,63.0,,true
Iztacalco,2020,58.0,,,58.0,,true
Iztacalco,2021,90.1,98.1,96.1,65.0,,true
Iztacalco,2022,90.4,95.6,98.5,68.0,,true
Iztacalco,2023,90.6,94.0,98.4,72.0,,true
Iztacalco,2024,92.4,95.3,100.0,75.0,,true
Iztapalapa,2018,60.0,,,60.0,,true
Iztapalapa,2019,84.3,94.9,,63.0,,true
Iztapalapa,2020,58.0,,,58.0,,true
Iztapalapa,2021,90.4,99.8,94.7,65.0,,true
Iztapalapa,2022,89.9,96.4,95.9,68.0,,true
Iztapalapa,2023,91.7,96.1,99.1,72.0,,true
Iztapalapa,2024,93.2,98.1,98.8,75.0,,true
La Magdalena Contreras,2018,60.0,,,60.0,,true
La Magdalena Contreras,2019,81.1,90.2,,63.0,,true
La Magdalena Contreras,2020,58.0,,,58.0,,true
La Magdalena Contreras,2021,86.5,89.6,96.8,65.0,,true
La Magdalena Contreras,2022,90.7,95.2,99.9,68.0,,true
La Magdalena Contreras,2023,93.3,99.6,99.1,72.0,,true
La Magdalena Contreras,2024,90.9,92.1,99.8,75.0,,true
Miguel Hidalgo,2018,60.0,,,60.0,,true
Miguel Hidalgo,2019,87.1,99.1,,63.0,,true
Miguel Hidalgo,2020,58.0,,,58.0,,true
Miguel Hidalgo,2021,90.3,98.1,96.7,65.0,,true
Miguel Hidalgo,2022,81.3,86.4,83.3,68.0,,true
Miguel Hidalgo,2023,92.4,97.8,98.7,72.0,,true
Miguel Hidalgo,2024,93.2,97.3,100.0,75.0,,true
Milpa Alta,2018,60.0,,,60.0,,true
Milpa Alta,2019,86.9,98.9,,63.0,,true
Milpa Alta,2020,58.0,,,58.0,,true
Milpa Alta,2021,88.0,93.4,96.2,65.0,,true
Milpa Alta,2022,91.3,97.1,99.0,68.0,,true
Milpa Alta,2023,91.9,97.6,97.5,72.0,,true
Milpa Alta,2024,93.6,98.1,100.0,75.0,,true
Tláhuac,2018,60.0,,,60.0,,true
Tláhuac,2019,87.5,99.7,,63.0,,true
Tláhuac,2020,58.0,,,58.0,,true
Tláhuac,2021,89.8,96.4,97.4,65.0,,true
Tláhuac,2022,92.4,99.5,99.1,68.0,,true
Tláhuac,2023,91.4,95.0,99.4,72.0,,true
Tláhuac,2024,91.9,94.3,100.0,75.0,,true
Tlalpan,2018,60.0,,,60.0,,true
Tlalpan,2019,81.7,91.1,,63.0,,true
Tlalpan,2020,58.0,,,58.0,,true
Tlalpan,2021,90.6,98.1,97.8,65.0,,true
Tlalpan,2022,90.5,94.8,99.8,68.0,,true
Tlalpan,2023,90.8,93.4,100.0,72.0,,true
Tlalpan,2024,93.4,97.7,100.0,75.0,,true
Venustiano Carranza,2018,60.0,,,60.0,,true
Venustiano Carranza,2019,83.8,94.2,,63.0,,true
Venustiano Carranza,2020,58.0,,,58.0,,true
Venustiano Carranza,2021,89.8,97.0,96.6,65.0,,true
Venustiano Carranza,2022,92.7,99.5,100.0,68.0,,true
Venustiano Carranza,2023,91.9,96.1,99.6,72.0,,true
Venustiano Carranza,2024,92.2,95.0,100.0,75.0,,true
Xochimilco,2018,60.0,,,60.0,,true
Xochimilco,2019,83.7,94.1,,63.0,,true
Xochimilco,2020,58.0,,,58.0,,true
Xochimilco,2021,90.6,99.8,95.5,65.0,,true
Xochimilco,2022,91.6,99.7,96.5,68.0,,true
Xochimilco,2023,92.6,97.3,100.0,72.0,,true
Xochimilco,2024,94.1,99.3,100.0,75.0,,true
